author,statement,source,date,target
Samantha Putterman,"Joe Biden ""put 20 million people on Medicaid who aren’t even eligible, then stopped states from taking them off.""",Nikki Haley,"October 6, 2023",FALSE
Grace Abels,"An ABC News headline said, “Journalist covering the Hunter Biden case dies after being shot 7 times.”",TikTok posts,"October 6, 2023",FALSE
Sara Swann,"""Bill Gates mRNA 'air vaccine' approved for use against non-consenting humans""",Instagram posts,"October 6, 2023",FALSE
Aubrey Burkhardt,“The percentage of students that are going to college (in West Virginia) has been declining for five years.”,George Zimmerman,"October 6, 2023",mostly-true
Michelle Peribanez,“Gas prices have skyrocketed since Joe Biden took office and continue to do so everyday.”,Carol Miller,"October 6, 2023",half-true
Derek Nastasi,Foreign languages are “not a high priority” nationally,E. Gordon Gee,"October 6, 2023",half-true
Amy Sherman,New York Attorney General Letitia James and Judge Arthur Engoron valued Mar-a-Lago at $18 million.,Facebook posts,"October 6, 2023",FALSE
Madison Czopek,"James Biden’s text message to Hunter Biden that says, “I can work with you(r) father alone,” shows that Joe Biden was “in business” with Hunter Biden.",Jesse Watters,"October 6, 2023",FALSE
Jeff Cercone,"Flu shot ingredients include aborted human cell cultures, monkey kidney cells and antifreeze.",Instagram posts,"October 6, 2023",FALSE
Amy Sherman,"“Under the Obama-Biden administration, we invested hundreds of millions of dollars in the state of Florida replacing wooden power poles with steel poles and we buried these electric lines.""",Joe Biden,"October 6, 2023",FALSE
Sophia Voight,"China sends “fentanyl into America killing 80,000 Americans a year.”",Mike Gallagher,"October 6, 2023",half-true
Ciara O'Rourke,Video shows President Joe Biden admitting “shady role in Maui fires.”,Facebook posts,"October 5, 2023",FALSE
Ciara O'Rourke,“CDC admits it faked 99% of COVID deaths to scare public into taking vaccine.”,Viral image,"October 5, 2023",FALSE
Sara Swann,“A new deadly pandemic is at our doorstep.”,Facebook posts,"October 5, 2023",FALSE
Ciara O'Rourke,“FDA wants to replace salt with Bill Gates’ new mRNA fake salt.”,Instagram posts,"October 5, 2023",FALSE
Louis Jacobson,"When I took office, “the auto industry was on its knees gasping its last breath.” Trump administration “tariffs and taxes saved the American auto industry from extinction.""",Donald Trump,"October 5, 2023",FALSE
Ciara O'Rourke,Former President Donald Trump is commander in chief.,Instagram posts,"October 5, 2023",pants-fire
Ciara O'Rourke,“Oprah FREAKS OUT after 15 kids are finally found on Maui.”,Facebook posts,"October 5, 2023",FALSE
Ciara O'Rourke,“Trump controls U.S. military.”,Facebook posts,"October 5, 2023",pants-fire
Ciara O'Rourke,“Man cuts off wife’s head after DNA test proved none of 6 kids are his own.”,Facebook posts,"October 5, 2023",FALSE
Ciara O'Rourke,“Bill Gates: People who resist ‘mRNA tsunami’ will be excluded from society.”,Instagram posts,"October 5, 2023",FALSE
Sophia Bookwood,“#Bidenomics has led to mortgage rates hitting a 21-year high → over 7%.”,Shelley Moore Capito,"October 5, 2023",mostly-true
Samuel Russ,"“Just in the last four years, $80 billion in federal funding has come to West Virginia — $22 billion more than we've ever received.”",Joe Manchin,"October 5, 2023",mostly-true
Ethan Moore,"During E. Gordon Gee's presidency of West Virginia University, ""student enrollments have steadily decreased.""",West Virginia University Faculty Senate,"October 5, 2023",mostly-true
Ciara O'Rourke,California Gov. Gavin Newsom is “not human.”,Instagram posts,"October 5, 2023",pants-fire
Marta Campabadal,Six million or 7 million people have “come illegally under Biden.”,Ron DeSantis,"• October 4,",barely-true
Sara Swann,Video shows magnetic meat for sale in U.S. grocery stores.,Facebook posts,"October 4, 2023",FALSE
Ciara O'Rourke,“Katie Hobbs no longer governor of Arizona.”,Facebook posts,"October 4, 2023",FALSE
Loreben Tuquero,Campaign finance disclosures showed Fulton County District Attorney Fani Willis took part in a “massive money laundering and election fraud” scheme.,Facebook posts,"October 3, 2023",FALSE
Madison Czopek,"“Burisma Energy accountant, who blew the whistle on Biden bribery scheme, found dead.”",Instagram posts,"October 3, 2023",FALSE
Maria Briceño,Patent shows 5G towers are used for brainwashing.,Facebook posts,"October 3, 2023",pants-fire
Ciara O'Rourke,“NATO troops deployed to Ukraine.”,Facebook posts,"October 3, 2023",FALSE
Ciara O'Rourke,A fact-check proves Michelle Obama is “a he.”,Facebook posts,"October 3, 2023",pants-fire
Louis Jacobson,"""Since the mid-'90s, this country has been governed by revolving continuing resolution and omnibus spending bill(s). … That is the reason we're $33 trillion in debt.""",Matt Gaetz,"October 2, 2023",half-true
Ciara O'Rourke,Sen. Dianne Feinstein tweeted about getting COVID-19 and flu vaccines days before her death.,Viral image,"October 2, 2023",FALSE
Ciara O'Rourke,Video shows Rep. Alexandria Ocasio-Cortez crying on CNN.,Facebook posts,"October 2, 2023",FALSE
Ciara O'Rourke,Video shows U.S. Reps. Alexandria Ocasio-Cortez and Nancy Pelosi discussing Jan. 6 with President Joe Biden.,Viral image,"October 2, 2023",FALSE
Michelle Andrews,"“Under ‘Crooked Joe’ Biden, there has been a catastrophic increase in shortages of essential medicines.”",Donald Trump,"October 2, 2023",FALSE
Grace Abels,A video shows children disappearing from inside a school bus.,Facebook posts,"September 29, 2023",pants-fire
